city,lat_med,lon_med
актау,43.666676575261,51.16343
актобе,50.278927,57.145880222643
алматы,43.244657,76.875535601705
астана,51.125360770402,71.419964
атырау,47.108657084695,51.866220548468
караганда,49.803702,73.135045353854
кокшетау,53.280625,69.39005481772
костанай,53.22126,63.619622500000006
кызылорда,44.829569,65.483205
павлодар,52.27714568531,76.969899
петропавловск,54.870456,69.134662282848
семей,50.393237,80.2323079549065
талдыкорган,45.008712,78.358003
тараз,42.893931,71.35374
темиртау,50.061925,72.974831
туркестан,43.274043,68.349693
уральск,51.231710499739,51.4072555
усть-каменогорск,49.951649,82.6183125
шымкент,42.357196143267,69.62592
