id,rec_price_m,price,city,lat,lon,bathrooms,height,state,type,year,floor,max_floor,area,views
1011364049,464760,31200000,Астана,51.173125996772,71.404237746974,1,2.8,"не новый, но аккуратный ремонт",кирпичный,2010,9,12,78,33
760051028,803900,77000000,Алматы,43.252221,76.921462,1,2.8,"не новый, но аккуратный ремонт Санузел совмещенный",кирпичный,1984,4,5,114,158
1011364049,464760,31200000,Астана,51.173125996772,71.404237746974,1,2.8,"не новый, но аккуратный ремонт",кирпичный,2010,9,12,78,34
760051028,803900,77000000,Алматы,43.252221,76.921462,1,2.8,"не новый, но аккуратный ремонт Санузел совмещенный",кирпичный,1984,4,5,114,158
1011364049,464760,31200000,Астана,51.173125996772,71.404237746974,1,2.8,"не новый, но аккуратный ремонт",кирпичный,2010,9,12,78,36
760051028,803900,77000000,Алматы,43.252221,76.921462,1,2.8,"не новый, но аккуратный ремонт Санузел совмещенный",кирпичный,1984,4,5,114,159
1011364049,464760,31200000,Астана,51.173125996772,71.404237746974,1,2.8,"не новый, но аккуратный ремонт",кирпичный,2010,9,12,78,36
699675064,670390,26100000,Алматы,43.298039010335,76.832990993184,1,2,свежий ремонт,монолитный,2024,4,5,6,247
699019175,725440,57000000,Алматы,43.21611495848,76.884254211207,1,2,черновая отделка,монолитный,2012,5,14,76,56
697151617,610750,55500000,Астана,51.121362689815,71.477361004372,1,3.2,черновая отделка,Millenium Park,2022,4,7,65,101
762078023,799460,75000000,Астана,51.115637325031,71.402610848575,2,2,черновая отделка,кирпичный,2022,1,10,5,186
691753360,887550,66000000,Алматы,43.246220846814,76.940373132207,1,2.8,свежий ремонт Санузел раздельный,кирпичный,1985,5,5,4,291
1011111408,655500,41000000,Алматы,43.26142,76.892069,1,2.8,черновая отделка,монолитный,2022,3,12,9,232
1011043812,758900,41000000,Астана,51.083336331316,71.442053318024,1,2,черновая отделка,монолитный,2021,5,8,45,102
1010471635,643500,40000000,Астана,51.129592,71.50631,1,2.7,черновая отделка,кирпичный,2020,3,11,78,373
1011434463,511910,21000000,Астана,51.14614324432,71.35626369914,1,2,черновая отделка,кирпичный,2000,7,12,3,3
1011085725,660870,36500000,Астана,51.121892349983,71.511960625594,2,2.7,"не новый, но аккуратный ремонт",кирпичный,2023,9,10,5,252
1009691716,616540,42000000,Алматы,43.231005468432,76.861075388878,1,2.7,свежий ремонт Санузел совмещенный,панельный,1966,2,4,59,91
699508306,575460,27000000,Алматы,43.301743,76.900909,1,2.8,свежий ремонт Санузел совмещенный,монолитный,2012,3,5,44,152
696838397,446950,115000000,Астана,51.162602058401,71.424418799579,2,2,черновая отделка,монолитный,2008,3,15,3,159
694719641,803340,86000000,Астана,51.087275,71.424797,2,2.7,свежий ремонт,монолитный,2021,3,12,102,241
691262971,903580,109000000,Алматы,43.214377094918,76.892408804729,2,2,свежий ремонт,монолитный,2020,10,12,100,178
684027194,645840,27500000,Алматы,43.304644763072,76.921782585388,1,2.8,"не новый, но аккуратный ремонт Санузел совмещенный",монолитный,2007,9,9,50,9
1011078193,624360,39000000,Алматы,43.219064197974,76.855275561573,1,2.7,свежий ремонт Санузел совмещенный,панельный,1965,1,4,58,199
1010590538,650040,29700000,Астана,51.126174456721,71.377823580908,1,2,черновая отделка,кирпичный,2025,6,9,1,165
1010453090,541420,22900000,Алматы,43.365731834418,76.928858756801,1,2.7,черновая отделка,монолитный,2024,7,9,7,128
1010158467,983290,39700000,Алматы,43.27661,77.002921,1,2,черновая отделка,монолитный,2026,5,7,5,135
1009958718,677720,28999999,Астана,51.11521567942,71.525617217621,1,2,свежий ремонт,монолитный,2025,2,10,38,191
1009757738,636890,29500000,Алматы,43.234075043159,76.851627160981,1,2.5,черновая отделка,1968,1968,1,4,4,132
1009490744,631660,49000000,Алматы,43.274344877113,76.816452624301,1,2.7,черновая отделка,монолитный,2024,4,12,51,120
1009163397,589560,29000000,Астана,51.161285,71.376018,1,2,свежий ремонт,кирпичный,2023,3,12,37,125
1009087149,805430,46700000,Астанапоказать на карте,51.126291,71.377231,1,2,свежий ремонт,монолитный,2025,3,9,65,270
1007381257,574310,30000000,Алматы,43.365731834418,76.928858756801,1,2.7,черновая отделка,монолитный,2025,4,9,53,129
1011156526,540370,18000000,Астана,51.159986,71.48908,1,2,черновая отделка,монолитный,2014,4,12,2,252
678690361,480630,60900000,Астана,51.118483,71.463685,2,2,свежий ремонт,монолитный,2011,12,22,145,189
1011160121,907500,55000000,Алматы,43.246884351238,76.908475552618,1,2.8,"не новый, но аккуратный ремонт Санузел раздельный",кирпичный,1988,1,5,8,200
1009755419,802020,29000000,Астана,51.082298259211,71.468608712225,1,2.7,черновая отделка,монолитный,2026,9,9,9,206
1011246846,559780,35500000,Астана,51.13609473016,71.428983494989,1,2,черновая отделка,монолитный,2010,3,15,7,20
1008111662,743210,30000000,Астана,51.080203075365,71.430467050961,1,2.7,свежий ремонт,монолитный,2025,14,17,4,63
1010167894,804160,43900000,Алматы,43.227816,76.920896,1,2.5,"не новый, но аккуратный ремонт Санузел совмещенный",панельный,1975,1,4,8,67
1009144654,726980,30500000,Астана,51.111749,71.524959,1,2.7,свежий ремонт,монолитный,2023,4,9,43,105
1001546836,748470,53000000,Алматы,43.223841127129,76.792911683095,2,2.8,"не новый, но аккуратный ремонт",монолитный,2012,12,16,131,264
